"","기업명","모집내용","지원자격","근무조건/근무지역","마감일/등록일"
"297","휴머스온
휴머스온그룹","서비스 [개발/운영 엔지니어] [운영기획] [영업지원]
백엔드/서버개발웹개발APIJavaLinux 외
","경력 2년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 05/01(일)
(2일 전 등록)"
"298","제이투이","[Middleware SI 잠실] WAS(WEBLOGIC) 이관 업무 5개월 (3)
미들웨어IISWASC++R 외","경력 9년↑
대학(2,3년)↑","계약직 · 프리랜서
서울 송파구","입사지원
~ 04/07(목)
(2일 전 등록)"
"299","에이젠글로벌","취업축하금 50만원
[에이젠글로벌] Frontend 개발자
웹개발프론트엔드빅데이터ECMAScriptGraphQL 외","2 ~ 5년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/30(토)
(92일 전 등록)"
"300","에이젠글로벌","취업축하금 50만원
[에이젠글로벌]ML Engineer 직군 모집
데이터분석가백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어) 외","3 ~ 5년
대학교(4년)↑","정규직
서울전체","입사지원
~ 04/30(토)
(92일 전 등록)"
"301","와이즐리컴퍼니","취업축하금 50만원
시니어 프론트엔드 엔지니어
웹개발퍼블리셔프론트엔드반응형웹웹표준·웹접근성 외","5 ~ 10년
학력무관","정규직
서울전체","입사지원
~ 04/30(토)
(149일 전 등록)"
"302","퍼솔켈리코리아","[한국화웨이] 네트워크 & IT 엔지니어직군(언어무관/경력)
백엔드/서버개발SE(시스템엔지니어)네트워크방화벽정보통신 외","경력 1년↑
대학교(4년)↑","계약직 · 파견직
서울 중구","입사지원
~ 04/27(수)
(6일 전 등록)"
"303","푸드테크
우아한형제들그룹","22년 상반기 푸드테크 각 부문 신입/경력직 모집
데이터분석가데이터엔지니어SE(시스템엔지니어)데이터마이닝데이터시각화 외","경력
학력무관","정규직
서울 강남구","입사지원
~ 04/15(금)
(12일 전 등록)"
"304","존스랑라살
존스랑라살그룹","[JLL] 디지털 통합 관리자 - 대리과장급
기술지원데이터분석가데이터엔지니어백엔드/서버개발웹개발 외","경력 5년↑
대학교(4년)↑","정규직
서울 영등포구","입사지원
~ 05/01(일)
(2일 전 등록)"
"305","베올리아산업개발코리아
베올리아그룹","기술 지원 엔지니어 (Technical Support Engineer)
대기환경기사폐기물처리기사환경설계환경플랜트
","경력 6년↓
학력무관","정규직
서울 중구","입사지원
~ 04/22(금)
(2일 전 등록)"
"306","주식회사 에너슨","MySQL DB 엔지니어 / 데이터 엔지니어 채용공고 (정규직)
DBALinuxPL/SQLSQL크롤링 외
","경력 1년↑
학력무관","정규직
서울 송파구","입사지원
채용시
(2일 전 등록)"
"307","크립텍스","키오스크 솔루션 고도화-델파이 경력직 인원 구함
데이터엔지니어백엔드/서버개발앱개발프론트엔드솔루션 외","경력 5년↑
대학(2,3년)↑","정규직
서울 용산구
50,000만원","입사지원
~ 04/30(토)
(12일 전 등록)"
"308","매스프레소","취업축하금 50만원
DevOps Engineer (데브옵스 엔지니어)
백엔드/서버개발웹개발DBASE(시스템엔지니어)인프라 외","8 ~ 20년
학력무관","정규직
서울전체","입사지원
상시채용
(268일 전 등록)"
"309","매스프레소","취업축하금 50만원
[제품 개발] Backend Developer (백엔드 개발자)
백엔드/서버개발웹개발SE(시스템엔지니어)블록체인인프라 외","3 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
(258일 전 등록)"
"310","매스프레소","취업축하금 50만원
Data Analyst (데이터 분석가)
데이터분석가백엔드/서버개발앱개발웹개발SE(시스템엔지니어) 외","1 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
(256일 전 등록)"
